depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_4,axitinib (GDSC2:1021),obatoclax (GDSC2:1068),gemcitabine (GDSC2:1190),lapatinib (GDSC2:1558),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),topotecan (GDSC2:1808),teniposide (GDSC2:1809),dactinomycin (GDSC2:1811),Dihydrorotenone (GDSC2:1827),Sabutoclax (GDSC2:1849),buparlisib (GDSC2:1873),dactinomycin (GDSC2:1911),AZD6738 (GDSC2:1917),cediranib (GDSC2:1922),I-BRD9 (GDSC2:1928),MIRA-1 (GDSC2:1931),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),YM-155 (GDSC2:1941),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),AZD6482 (GDSC2:2169),JQ1-(+) (GDSC2:2172)
ACH-000910,MDAMB453,Breast,Breast Carcinoma,ERneg HER2neg,HER2 Amp,,1.571191383,,,,,-0.126496306,,,-3.821652299,-1.553571695,1.78835541,-5.61250497,,3.282237155,,,3.280600053,,-6.388955012,3.00827093,,0.011796276,,,-2.602569456
ACH-000927,BT474,Breast,Breast Ductal Carcinoma,ERpos HER2pos,HER2 Amp,,,,,,,,,,,,,,,,,,,,-4.954966918,,,,,,
ACH-000930,HCC1569,Breast,Breast Carcinoma,ERneg HER2pos,Basal A,,0.495320934,,,,,0.783112301,-0.584541311,,,,,,,,,,,,,,,,,,
ACH-000934,MDAMB361,Breast,Breast Carcinoma,ERpos HER2pos,HER2 Amp,,2.282458052,,,,,,,,,0.475800364,0.472098897,-5.313780705,0.356164483,,,,,,-1.96473398,2.763839313,,2.111080063,,,
ACH-001065,EVSAT,Breast,Breast Carcinoma,,,,1.514593301,,2.907666094,,,1.287008236,,,,-3.913862635,0.206230057,-7.417147896,,2.377697414,,,2.494199266,,-5.332783031,1.62470672,,-1.426627035,1.893945893,0.415562506,-1.073815817
ACH-001358,MDAMB330,Breast,Breast Carcinoma,,,,1.945001553,,,,,,,,,0.587176716,,,,,,,,,,,,,,,
ACH-002163,MRKNU1,Breast,Breast Carcinoma,,,,1.083809949,-0.352741787,,,,,,,,-2.955602552,0.488792256,-8.300189873,,,,,,,,3.201397304,,,2.353844968,,
ACH-002179,OCUBM,Breast,Breast Carcinoma,,,3.30980107,,,,4.042418205,,0.209372428,1.426259595,,-4.731974325,-1.625677632,0.769991871,-7.605488285,,,,,,,-4.971011915,,,-2.722983604,,0.26654438,
ACH-000248,AU565,Breast,Breast Adenocarcinoma,ERneg HER2pos,HER2 Amp,1.53703815,-2.57522608,-2.290159849,-1.483965117,,2.516436469,-2.573616833,2.12720676,-0.180121831,-8.264041947,,3.422650815,,-0.977003078,,2.249397685,-0.26431592,3.859323327,1.011539456,,-6.874334229,-1.023566639,,11.62464706,-5.321226539,
ACH-000536,BT20,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,2.734651764,,,0.14006908,2.556146191,2.431946722,-0.16177825,2.642186807,-1.007496278,-6.037661635,,3.208333543,,-0.501040958,,3.915176798,1.119705281,3.854560362,,,,2.118387395,,11.71379435,-0.911215306,3.871285389
ACH-000927,BT474,Breast,Breast Ductal Carcinoma,ERpos HER2pos,HER2 Amp,2.211725366,-3.666958696,,,3.085492239,,-0.35451225,,,,,3.37832803,,0.105166376,,3.01754003,-1.265863642,,,,-2.677361859,0.266010881,-4.928178415,11.10294156,-3.497617796,
ACH-000818,BT483,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,,,,,,,,,,,,3.09786022,,,,,2.964368117,,,,,1.890373371,,,-2.738515877,
ACH-000288,BT549,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal B,,,,-0.065410416,1.553527943,1.310600045,,,,,,,,,,,,,,,,,,,,
ACH-000212,CAL120,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,2.37856762,,-4.58093919,-0.697783605,1.158488894,1.469115422,,,3.06312014,,,3.481604764,-1.518903374,0.398897589,,3.912979377,0.971009886,,3.036708861,,,-1.957922981,-5.693748215,11.74124014,-3.145560195,
ACH-000902,CAL148,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Luminal HER2 Amp,,,,,,,-4.48574561,0.107544544,,-6.784376088,,,,-0.449705168,-0.011905634,3.663586463,-0.260056379,,3.091571722,,,1.009897352,-4.985881747,10.12519647,-4.141190298,3.957560826
ACH-000856,CAL51,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,1.40919228,,-4.833673962,-1.779625817,0.40640093,-0.256546792,-5.115000716,0.388558288,,-6.352728124,1.744484259,2.856802714,-3.409491101,-1.852765038,,-1.502778212,-3.221971768,2.282730098,1.949149154,,-7.87601551,-3.339988667,-7.020951393,11.55387456,-3.436583256,3.889583611
ACH-000857,CAL851,Breast,Breast Carcinoma,ERneg HER2neg,Basal A,,,,1.321151116,2.128122601,3.06693106,-4.379149394,0.0830951,-2.650974308,-7.669459379,,2.376741396,,-1.492539583,-3.432252558,0.439019764,-2.259605748,3.301566158,2.431450996,,-6.143537768,,-6.722974486,,-5.903605868,3.715429057
ACH-000783,CAMA1,Breast,Breast Carcinoma,ERpos HER2neg,Luminal,1.627849873,,-5.787762713,-0.028146083,,3.091855761,-1.657108055,,-0.195459449,,,3.568223148,,,-2.534998644,3.072017668,1.233755872,4.131535715,0.421358973,,-6.288370795,-0.462500329,-3.523818243,9.888608132,-4.336911948,
ACH-000258,DU4475,Breast,Breast Carcinoma,ERneg HER2neg,Luminal HER2 Amp,0.073403364,,-4.254156016,-0.689593422,-2.293009075,2.931694307,-6.184534201,-2.368259504,,,,2.93162622,-1.0432711,-0.557019268,-1.036203474,2.252174508,-2.007796291,3.505048865,2.653824583,,-6.926939973,-2.240076147,-6.648191676,5.717975587,-5.673953923,2.559625819
